Learning Rate	Train Loss	Test Loss	TrainLoss Interior	TrainLoss Bndry	Trainloss Init	Trainloss Shock	
0.01000000	1.98128793	0.00026968	0.00017328	0.00069747	0.00134665	0.00021185	
0.01000000	2.11456826	0.00027172	0.00017055	0.00061762	0.00130192	0.00021519	
0.01000000	1.48486804	0.00019530	0.00016832	0.00014719	0.00105293	0.00004828	
0.01000000	1.42863496	0.00017435	0.00016872	0.00024914	0.00103271	0.00006877	
0.01000000	1.75132654	0.00025905	0.00017204	0.00029273	0.00116466	0.00008488	
0.01000000	1.53278068	0.00014426	0.00016266	0.00022593	0.00108926	0.00004550	
0.01000000	1.43185559	0.00018394	0.00016809	0.00026044	0.00104420	0.00005976	
0.01000000	1.61431044	0.00014402	0.00016386	0.00030428	0.00110333	0.00009798	
0.01000000	1.62061301	0.00034791	0.00016558	0.00023067	0.00113685	0.00004603	
0.01000000	1.71973123	0.00012693	0.00016486	0.00044575	0.00121639	0.00012659	
0.01000000	1.40894812	0.00014835	0.00016473	0.00015747	0.00097283	0.00006473	
0.01000000	1.46772873	0.00021613	0.00016307	0.00029816	0.00104518	0.00009583	
0.01000000	1.35088133	0.00012893	0.00015810	0.00019668	0.00095597	0.00005228	
0.01000000	1.23552296	0.00014783	0.00016560	0.00009167	0.00089836	0.00002073	
0.01000000	1.37488486	0.00011543	0.00016300	0.00012333	0.00101412	0.00002152	
0.01000000	1.37779977	0.00024070	0.00015404	0.00019278	0.00102062	0.00005210	
0.01000000	1.65597928	0.00028471	0.00015934	0.00054505	0.00116336	0.00017210	
0.01000000	2.31275117	0.00043510	0.00015765	0.00098022	0.00137853	0.00033891	
0.01000000	1.79632767	0.00017077	0.00016275	0.00038008	0.00116197	0.00009965	
0.01000000	1.42731193	0.00014014	0.00015572	0.00031633	0.00106637	0.00007035	
0.01000000	1.38641090	0.00013339	0.00015101	0.00016862	0.00098450	0.00005890	
0.01000000	1.51301341	0.00014869	0.00017029	0.00024579	0.00109008	0.00006020	
0.01000000	1.34332280	0.00017548	0.00015976	0.00019590	0.00101374	0.00003158	
0.01000000	1.39163860	0.00024020	0.00015637	0.00018683	0.00096136	0.00003302	
0.01000000	1.43320598	0.00017695	0.00015280	0.00016931	0.00102660	0.00003202	
0.01000000	1.55846759	0.00015864	0.00015084	0.00033423	0.00107010	0.00007873	
0.01000000	1.42571550	0.00013809	0.00015385	0.00029103	0.00105084	0.00007701	
0.01000000	1.21742984	0.00025392	0.00015893	0.00017155	0.00093211	0.00002706	
0.01000000	1.50630077	0.00011893	0.00015883	0.00032637	0.00101844	0.00008384	
0.01000000	1.02743830	0.00013238	0.00015594	0.00013160	0.00074673	0.00003195	
0.01000000	1.46425222	0.00013835	0.00015279	0.00013286	0.00107125	0.00002580	
0.01000000	1.22559831	0.00016522	0.00014136	0.00011770	0.00097250	0.00001601	
0.01000000	1.28304636	0.00012846	0.00015275	0.00013601	0.00092179	0.00002849	
0.01000000	1.18554483	0.00010804	0.00014945	0.00011705	0.00089141	0.00002442	
0.01000000	1.27818708	0.00023656	0.00016156	0.00018939	0.00095586	0.00005813	
0.01000000	1.37496287	0.00012087	0.00014731	0.00020833	0.00099003	0.00005578	
0.01000000	1.23348404	0.00026974	0.00016338	0.00024254	0.00094912	0.00007192	
0.01000000	1.46706808	0.00020875	0.00015463	0.00044393	0.00108188	0.00011478	
0.01000000	1.95806125	0.00041692	0.00015723	0.00079611	0.00126674	0.00026509	
0.01000000	1.73541063	0.00011111	0.00013410	0.00053009	0.00109382	0.00015092	
0.01000000	1.18643002	0.00011349	0.00013525	0.00010800	0.00091728	0.00003473	
0.01000000	1.24250415	0.00010848	0.00013973	0.00013165	0.00089740	0.00001691	
0.01000000	1.35203148	0.00009487	0.00015346	0.00013166	0.00094939	0.00002055	
0.01000000	1.33249564	0.00018456	0.00014699	0.00025568	0.00100984	0.00006872	
0.01000000	1.25753445	0.00019235	0.00015620	0.00016024	0.00092915	0.00002741	
0.01000000	1.45144918	0.00011934	0.00013840	0.00027394	0.00103785	0.00005329	
0.01000000	1.41848708	0.00023948	0.00013843	0.00033005	0.00101904	0.00007259	
0.01000000	1.45901852	0.00014748	0.00014567	0.00037665	0.00101822	0.00009517	
0.01000000	1.60205947	0.00014712	0.00014454	0.00031515	0.00107576	0.00006842	
0.01000000	1.22108057	0.00020643	0.00013644	0.00015602	0.00090839	0.00002196	
0.01000000	1.44953301	0.00012125	0.00012896	0.00035812	0.00100496	0.00007565	
0.01000000	1.37791904	0.00014828	0.00013773	0.00023582	0.00092901	0.00005783	
0.01000000	1.32708582	0.00009119	0.00015035	0.00013605	0.00090554	0.00001801	
0.01000000	1.33226592	0.00033913	0.00014283	0.00030244	0.00098293	0.00005900	
0.01000000	1.58546466	0.00012061	0.00013835	0.00061196	0.00103927	0.00017287	
0.01000000	1.31137127	0.00011144	0.00013934	0.00018833	0.00087275	0.00006143	
0.01000000	1.47210916	0.00035568	0.00014256	0.00047514	0.00103829	0.00014712	
0.01000000	1.50360108	0.00012390	0.00013407	0.00042848	0.00096915	0.00008928	
0.01000000	1.33665159	0.00010045	0.00014031	0.00025714	0.00094456	0.00005251	
0.01000000	1.08997099	0.00010250	0.00015545	0.00015441	0.00080937	0.00002902	
0.01000000	1.27131996	0.00022861	0.00013926	0.00034910	0.00097304	0.00006521	
0.01000000	1.19473489	0.00027907	0.00012753	0.00021703	0.00089021	0.00004067	
0.01000000	1.58016138	0.00011137	0.00012405	0.00064102	0.00110722	0.00017919	
0.01000000	1.09397423	0.00014208	0.00013842	0.00026317	0.00082924	0.00003909	
0.01000000	1.46125356	0.00011627	0.00013299	0.00031999	0.00095882	0.00009569	
0.01000000	1.11272665	0.00014897	0.00012867	0.00018661	0.00083252	0.00004036	
0.01000000	1.17192042	0.00020809	0.00014731	0.00019387	0.00087273	0.00001740	
0.01000000	1.19567398	0.00008293	0.00014609	0.00025033	0.00089878	0.00004101	
0.01000000	1.39930185	0.00013403	0.00013671	0.00014114	0.00099358	0.00003282	
0.01000000	1.36343383	0.00016341	0.00014434	0.00017399	0.00101738	0.00002597	
0.01000000	1.45499413	0.00015061	0.00010136	0.00017279	0.00106522	0.00001688	
0.01000000	1.26907183	0.00010506	0.00011005	0.00016163	0.00091231	0.00002856	
0.01000000	1.09214074	0.00010047	0.00013429	0.00015822	0.00083586	0.00003556	
0.01000000	1.19197923	0.00009850	0.00013070	0.00015905	0.00084985	0.00002868	
0.01000000	1.18028847	0.00015471	0.00012931	0.00014128	0.00082784	0.00001822	
0.01000000	1.09289126	0.00008236	0.00013100	0.00021677	0.00079011	0.00003727	
0.01000000	1.23576064	0.00013040	0.00010763	0.00011427	0.00086966	0.00002590	
0.01000000	1.37439205	0.00013363	0.00013742	0.00012578	0.00097700	0.00003828	
0.01000000	1.42962269	0.00023256	0.00011935	0.00034726	0.00096555	0.00009657	
0.01000000	2.13349343	0.00069153	0.00014646	0.00107596	0.00136008	0.00031258	
0.01000000	2.22690512	0.00008969	0.00013398	0.00110600	0.00130984	0.00024840	
0.01000000	1.09681900	0.00011492	0.00012088	0.00019911	0.00079154	0.00003281	
0.01000000	1.30001305	0.00008582	0.00013471	0.00024997	0.00087043	0.00006552	
